weber_version,start_date,start_time,offset,trial,time,sid,condition,version,code,stimulus,phase,stimtrak,value,daq_code
0.5.1-dirty,2017-06-06,14:02:12,46,33,726.170820650148,1116,study1,0.3.2,high_latency,,,,0.0036263892450278945,14
0.5.1-dirty,2017-06-06,14:02:12,47,34,726.1827387809935,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,47,34,726.2660710452201,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,47,34,726.4327381395287,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,47,34,726.8959524141446,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,47,34,728.8871110335658,1116,study1,0.3.2,stream_2,,test,,,2
0.5.1-dirty,2017-06-06,14:02:12,48,35,728.9986888459534,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,48,35,729.0606854208163,1116,study1,0.3.2,stream_2_up,,test,,,4
0.5.1-dirty,2017-06-06,14:02:12,48,35,729.7098475109888,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,48,35,731.8135298895504,1116,study1,0.3.2,high_latency,,,,0.0037504057725072926,14
0.5.1-dirty,2017-06-06,14:02:12,49,36,731.8249414057536,1116,study1,0.3.2,trial_start,,,,,252
